,City Name,latitude,longitude,temperature,humidity,windspeed,cloudiness,country,date
277,gaozhou,21.94,110.85,25.12,89,1.36,78,CN,1600815354
278,ewa beach,21.32,-158.01,32.0,46,4.1,75,US,1600815355
279,ubajara,-3.85,-40.92,20.41,74,1.87,1,BR,1600815355
280,kalmunai,7.42,81.82,27.32,71,1.22,74,LK,1600815355
281,raton,36.9,-104.44,26.0,16,2.1,51,US,1600815355
282,oneonta,42.45,-75.06,13.33,61,3.9,0,US,1600815355
283,sibolga,1.74,98.78,24.96,83,1.05,99,ID,1600815131
284,khorramshahr,30.44,48.17,25.0,44,4.1,0,IR,1600815356
285,port-gentil,-0.72,8.78,25.0,88,5.75,75,GA,1600815356
286,goma,-1.68,29.22,17.18,76,1.24,13,CD,1600815356
287,bom jesus,-9.07,-44.36,29.9,36,1.81,29,BR,1600815356
288,arkhangelsk,64.54,40.54,10.0,66,7.0,40,RU,1600815268
289,shiraz,29.6,52.54,19.0,25,0.99,0,IR,1600815342
290,hastings,50.86,0.57,16.67,93,1.79,14,GB,1600815357
291,vocklabruck,48.02,13.65,17.22,82,1.02,95,AT,1600815357
292,moyale,3.52,39.06,21.2,62,5.27,8,KE,1600815357
293,ancud,-41.87,-73.82,10.56,81,0.45,11,CL,1600815357
294,clyde river,70.47,-68.59,-5.0,85,3.6,20,CA,1600815358
295,xuddur,4.12,43.89,24.51,61,8.54,100,SO,1600815358
296,floro,61.6,5.03,14.0,82,14.4,100,NO,1600815358
297,half moon bay,37.46,-122.43,27.0,77,5.7,1,US,1600815358
298,baculin,7.45,126.58,27.77,74,1.72,100,PH,1600815358
299,nikolayevskaya,47.61,41.5,12.49,38,0.72,76,RU,1600815358
300,kozhva,65.11,57.05,5.1,92,3.61,100,RU,1600815359
301,warmbad,-28.45,18.73,15.92,22,2.79,0,NA,1600815359
302,vila franca do campo,37.72,-25.43,19.0,82,3.1,20,PT,1600815359
303,voyinka,45.87,33.99,14.58,62,2.59,0,UA,1600815359
304,kinshasa,-4.32,15.32,27.0,69,3.35,40,CD,1600815359
305,tongling,30.95,117.78,16.13,89,1.6,100,CN,1600815360
306,fort nelson,58.81,-122.7,14.0,44,2.6,75,CA,1600815360
307,buribay,51.96,58.16,9.7,81,8.77,90,RU,1600815360
308,sal rei,16.18,-22.92,28.0,74,3.6,20,CV,1600815360
309,lompoc,34.64,-120.46,22.78,68,4.6,1,US,1600815224
310,qaqortoq,60.72,-46.03,2.0,43,2.1,0,GL,1600815360
311,tateyama,34.98,139.87,21.0,100,5.1,75,JP,1600815360
312,albox,37.39,-2.15,23.89,43,2.24,99,ES,1600815361
313,micomeseng,2.15,10.62,20.51,99,1.1,100,GQ,1600815361
314,mar del plata,-38.0,-57.56,16.0,55,4.1,100,AR,1600815361
315,sinop,41.77,34.87,15.05,55,2.35,0,TR,1600815361
316,punta alta,-38.88,-62.07,14.13,59,4.43,17,AR,1600815361
317,belyy yar,53.6,91.39,8.0,100,2.56,100,RU,1600815362
318,mahebourg,-20.41,57.7,21.0,73,3.1,40,MU,1600815362
319,sioux lookout,50.1,-91.92,22.0,46,3.1,20,CA,1600815362
320,kiama,-34.68,150.87,18.89,45,5.36,0,AU,1600815362
321,preobrazheniye,42.9,133.91,14.49,77,4.3,55,RU,1600815362
322,taldan,53.67,124.8,7.11,96,3.05,100,RU,1600815363
323,pisco,-13.7,-76.22,18.0,77,3.6,6,PE,1600815081
324,praia,14.92,-23.51,26.0,94,2.1,20,CV,1600815363
325,matagami,49.75,-77.63,18.0,72,3.1,90,CA,1600815363
326,karatau,43.17,70.47,9.3,48,0.2,80,KZ,1600815363
327,palu,-0.89,119.87,25.47,80,0.62,99,ID,1600815364
328,kommunisticheskiy,61.68,64.48,4.43,95,4.54,100,RU,1600815364
329,jiexiu,37.02,111.91,15.67,72,0.75,90,CN,1600815364
330,coos bay,43.37,-124.22,21.11,72,3.6,1,US,1600815234
331,waipawa,-41.41,175.52,14.0,87,12.3,100,NZ,1600815364
332,gouyave,12.16,-61.73,30.0,79,5.1,20,GD,1600815364
333,te anau,-45.42,167.72,12.86,75,2.69,34,NZ,1600815365
334,baghdad,33.34,44.4,29.0,30,4.1,0,IQ,1600815310
335,santa marta,11.24,-74.2,30.0,70,3.83,100,CO,1600815138
336,paraiso,9.84,-83.87,21.67,94,2.1,90,CR,1600815365
337,kaabong,3.48,34.15,20.75,53,1.88,44,UG,1600815365
338,mabaruma,8.2,-59.78,25.81,85,1.99,72,GY,1600815365
339,briancon,44.9,6.65,16.11,87,0.9,73,FR,1600815366
340,inhambane,-23.86,35.38,18.03,76,4.09,24,MZ,1600815366
341,stepnyak,52.83,70.78,4.27,87,4.48,83,KZ,1600815366
342,taltal,-25.4,-70.48,15.11,69,3.1,22,CL,1600815366
343,dawei,14.08,98.2,25.03,91,1.36,100,MM,1600815366
344,zhigansk,66.77,123.37,5.02,76,1.74,28,RU,1600815366
